order_id,order_date,city,region_name,federal_district,category,channel,quantity,price,discount,revenue,delivery_days,returned,rating
ORD-2025-02484,2025-01-01,Чегем,Кабардино-Балкарская Республика,Северо-Кавказский,Услуги,web,2,4230,0.0,8460,8,False,4.6
ORD-2025-05758,2025-01-01,Сосногорск,Республика Коми,Северо-Западный,Детские товары,mobile_app,1,5240,0.0,5240,2,False,4.6
ORD-2025-04341,2025-01-01,Дно,Псковская область,Северо-Западный,Одежда,call_center,1,4070,0.05,3866,4,False,4.9
ORD-2025-05937,2025-01-01,Долгопрудный,Московская область,Центральный,Одежда,web,1,4420,0.1,3978,3,False,4.7
ORD-2025-02278,2025-01-01,Жигулевск,Самарская область,Приволжский,Авто,mobile_app,2,6190,0.0,12380,2,False,4.7
ORD-2025-05748,2025-01-01,Кондрово,Калужская область,Центральный,Авто,mobile_app,1,13120,0.0,13120,5,False,4.8
ORD-2025-01910,2025-01-01,Волгоград,Волгоградская область,Южный,Услуги,partner,1,6220,0.0,6220,2,False,4.4
ORD-2025-00790,2025-01-01,Сарапул,Удмуртская Республика,Приволжский,Хобби и спорт,mobile_app,2,12300,0.05,23370,2,False,5.0
ORD-2025-02649,2025-01-01,Шацк,Рязанская область,Центральный,Хобби и спорт,mobile_app,1,2780,0.0,2780,2,False,4.8
ORD-2025-05329,2025-01-01,Курган,Курганская область,Уральский,Детские товары,web,2,3840,0.0,7680,3,False,4.7
ORD-2025-04453,2025-01-01,Заводоуковск,Тюменская область,Уральский,Дом и ремонт,mobile_app,3,7530,0.1,20331,4,False,4.5
ORD-2025-00227,2025-01-01,Сосновоборск,Красноярский край,Сибирский,Дом и ремонт,mobile_app,1,8390,0.0,8390,7,False,4.5
ORD-2025-00273,2025-01-01,Истра,Московская область,Центральный,Хобби и спорт,mobile_app,2,6700,0.05,12730,3,False,4.1
ORD-2025-02777,2025-01-01,Коммунар,Ленинградская область,Северо-Западный,Электроника,mobile_app,1,14240,0.0,14240,2,False,4.4
ORD-2025-01734,2025-01-01,Пенза,Пензенская область,Приволжский,Электроника,web,1,14590,0.0,14590,4,False,5.0
ORD-2025-00085,2025-01-01,Вичуга,Ивановская область,Центральный,Дом и ремонт,mobile_app,2,8330,0.0,16660,2,False,4.7
ORD-2025-00555,2025-01-01,Иркутск,Иркутская область,Сибирский,Хобби и спорт,web,2,5040,0.0,10080,3,False,3.7
ORD-2025-04405,2025-01-01,Гусев,Калининградская область,Северо-Западный,Услуги,mobile_app,1,14240,0.05,13528,3,False,4.3
ORD-2025-05210,2025-01-01,Звенигород,Московская область,Центральный,Одежда,web,1,3450,0.0,3450,2,False,4.7
ORD-2025-03558,2025-01-01,Новоалександровск,Ставропольский край,Северо-Кавказский,Электроника,mobile_app,1,32090,0.05,30486,2,False,4.9
ORD-2025-03757,2025-01-01,Миасс,Челябинская область,Уральский,Услуги,web,3,10210,0.0,30630,7,False,4.6
ORD-2025-01701,2025-01-01,Южноуральск,Челябинская область,Уральский,Одежда,mobile_app,2,4170,0.0,8340,4,False,5.0
ORD-2025-05874,2025-01-01,Новокубанск,Краснодарский край,Южный,Авто,call_center,1,13270,0.1,11943,2,False,4.2
ORD-2025-02415,2025-01-01,Людиново,Калужская область,Центральный,Авто,mobile_app,1,8270,0.0,8270,3,False,5.0
ORD-2025-01763,2025-01-01,Иркутск,Иркутская область,Сибирский,Электроника,mobile_app,1,11650,0.0,11650,3,False,4.5
ORD-2025-02757,2025-01-01,Бахчисарай,Республика Крым,Южный,Одежда,mobile_app,1,3680,0.0,3680,2,False,4.5
ORD-2025-01201,2025-01-01,Славянск-на-Кубани,Краснодарский край,Южный,Электроника,mobile_app,1,16680,0.05,15846,4,False,4.0
ORD-2025-03304,2025-01-01,Дегтярск,Свердловская область,Уральский,Авто,mobile_app,1,8570,0.0,8570,6,False,5.0
ORD-2025-00998,2025-01-01,Грозный,Чеченская Республика,Северо-Кавказский,Детские товары,mobile_app,1,3330,0.0,3330,5,False,4.9
ORD-2025-03269,2025-01-01,Сергиев Посад,Московская область,Центральный,Детские товары,mobile_app,1,4100,0.05,3895,3,False,4.9
ORD-2025-02270,2025-01-01,Иваново,Ивановская область,Центральный,Электроника,mobile_app,1,30960,0.0,30960,1,False,5.0
ORD-2025-00975,2025-01-01,Севастополь,Севастополь,Южный,Электроника,partner,2,15590,0.05,29621,2,False,4.6
ORD-2025-01220,2025-01-01,Бикин,Хабаровский край,Дальневосточный,Авто,mobile_app,1,11340,0.0,11340,5,False,4.3
ORD-2025-04172,2025-01-01,Тобольск,Тюменская область,Уральский,Одежда,web,1,1130,0.0,1130,4,False,5.0
ORD-2025-04822,2025-01-01,Зеленокумск,Ставропольский край,Северо-Кавказский,Дом и ремонт,call_center,2,4260,0.0,8520,3,False,4.3
ORD-2025-04275,2025-01-01,Алейск,Алтайский край,Сибирский,Дом и ремонт,mobile_app,1,6110,0.0,6110,7,False,4.8
ORD-2025-02633,2025-01-01,Одинцово,Московская область,Центральный,Услуги,mobile_app,1,13440,0.0,13440,3,False,4.4
ORD-2025-00437,2025-01-01,Горячий Ключ,Краснодарский край,Южный,Детские товары,mobile_app,1,5390,0.0,5390,5,False,4.9
ORD-2025-00959,2025-01-01,Лесосибирск,Красноярский край,Сибирский,Хобби и спорт,mobile_app,3,3680,0.0,11040,4,False,4.9
ORD-2025-03475,2025-01-01,Шахты,Ростовская область,Южный,Услуги,mobile_app,1,13970,0.0,13970,4,False,4.7
ORD-2025-04811,2025-01-01,Красноярск,Красноярский край,Сибирский,Хобби и спорт,web,1,5290,0.05,5026,4,False,4.2
ORD-2025-04539,2025-01-01,Оха,Сахалинская область,Дальневосточный,Авто,mobile_app,1,8510,0.0,8510,7,False,4.4
ORD-2025-04674,2025-01-02,Снежинск,Челябинская область,Уральский,Одежда,mobile_app,1,5690,0.15,4836,5,False,4.3
ORD-2025-05449,2025-01-02,Верещагино,Пермский край,Приволжский,Детские товары,web,2,2190,0.0,4380,1,False,4.8
ORD-2025-04391,2025-01-02,Ликино-Дулево,Московская область,Центральный,Электроника,web,2,18400,0.05,34960,4,False,4.8
ORD-2025-00400,2025-01-02,Сельцо,Брянская область,Центральный,Авто,mobile_app,1,16310,0.05,15494,4,False,4.4
